feature,auprc,lift,direction
V14,0.6172328920279179,357.3013176418601,menor em fraude
V17,0.6154899200746707,356.29235298111126,menor em fraude
V12,0.5796975844776486,335.5730283380603,menor em fraude
V10,0.5602535668943908,324.31735289937143,menor em fraude
V11,0.4945979642835848,286.31089921486773,maior em fraude
V16,0.47523991018220696,275.10498597411345,menor em fraude
V18,0.3397949770193797,196.69916264219202,menor em fraude
V9,0.33468559004288856,193.74146106370927,menor em fraude
V3,0.22817492783204288,132.0849932338631,menor em fraude
V4,0.20529709735596016,118.84156586719297,maior em fraude
V7,0.1963894002280663,113.68511363974568,menor em fraude
V2,0.11919179255497328,68.99727004513063,maior em fraude
V5,0.06778046383249002,39.236484883617855,menor em fraude
V8,0.06264256794132957,36.26228017818343,maior em fraude
V1,0.03646400457305164,21.108137704140486,menor em fraude
V6,0.02884486769491223,16.69760210078225,menor em fraude
V21,0.02701763265104423,15.639859557816978,maior em fraude
V27,0.017916000166374065,10.371142803627029,maior em fraude
V19,0.01659809802604138,9.608240862810502,maior em fraude
V22,0.01132754551353111,6.5572444208785665,menor em fraude
V28,0.009915567130619597,5.7398839995332835,maior em fraude
V20,0.005311163837308893,3.07450536384641,maior em fraude
V15,0.004254259988287607,2.4626890741549357,menor em fraude
Amount,0.004236889443428443,2.4526336823465944,menor em fraude
V23,0.003987243020474279,2.3081193555532886,menor em fraude
V25,0.003425352408098,1.9828543562869247,maior em fraude
Time,0.002465562836183842,1.4272551924492103,menor em fraude
V13,0.002155368219970381,1.2476909687502118,menor em fraude
V24,0.0019610009368292267,1.1351764101941495,menor em fraude
V26,0.0019403874037915774,1.1232437303082679,maior em fraude
