fold,combo_id,min_cluster_size,min_samples,dbcv_score,n_clusters,n_noise_points,f1,precision,recall,auc,auprc,TP,FP,FN,train_time,val_time
1.0,23.0,75.0,335.0,0.19144729205816913,3.0,56590.0,0.010891859395996888,0.005476529160739687,0.9746835443037974,0.8399805493487231,0.005446708569094601,77.0,13983.0,2.0,5.268924951553345,0.6527831554412842
2.0,0.0,5.0,300.0,0.9573928571171905,2.0,8004.0,0.06749049429657794,0.03506172839506173,0.8987341772151899,0.9443536067184053,0.03247131052934874,71.0,1954.0,8.0,5.248485803604126,0.6490213871002197
3.0,23.0,75.0,335.0,0.19266697863158877,3.0,57072.0,0.010861898716321062,0.005461380239733315,0.9746835443037974,0.841196853794143,0.0054521111314772075,77.0,14022.0,2.0,5.25164532661438,0.6528515815734863
4.0,0.0,5.0,300.0,0.9589642856897103,2.0,7985.0,0.0698012603005332,0.036290322580645164,0.9113924050632911,0.9518164533310107,0.03423092776686337,72.0,1912.0,7.0,5.22795557975769,0.649280309677124
5.0,2.0,5.0,325.0,0.19222434668656993,4.0,55965.0,0.011243951038998008,0.005653760824447148,1.0,0.847288474643336,0.005653760824447148,79.0,13894.0,0.0,5.251229763031006,0.6541156768798828
